playerID,yearID,stint,teamID,lgID,G_batting,R,runsPerGame
alvorbi01,1889,1,KC2,AA,50,23,0.4600
anderda01,1889,1,PHI,NL,5,1,0.2000
anderva01,1889,1,IN3,NL,2,0,0.0000
andreed01,1889,1,PHI,NL,10,10,1.0000
andreed01,1889,2,IN3,NL,40,32,0.8000
ansonca01,1889,1,CHN,NL,134,100,0.7463
bakelje01,1889,1,CL4,NL,36,9,0.2500
baldwki01,1889,1,CN2,AA,60,34,0.5667
baldwma01,1889,1,CL6,AA,64,19,0.2969
banniji01,1889,1,WS8,NL,2,0,0.0000
barklsa01,1889,1,KC2,AA,45,36,0.8000
bassech01,1889,1,IN3,NL,127,64,0.5039
bastich01,1889,1,CHN,NL,46,19,0.4130
batesjo01,1889,1,KC2,AA,1,0,0.0000
bausege01,1889,1,PH4,AA,7,1,0.1429
beamal01,1889,1,PIT,NL,2,0,0.0000
beardol01,1889,1,CN2,AA,141,96,0.6809
beatied01,1889,1,CL4,NL,37,13,0.3514
becklja01,1889,1,PIT,NL,123,91,0.7398
beeched01,1889,1,WS8,NL,42,20,0.4762
bellch01,1889,1,KC2,AA,2,1,0.5000
bellmja01,1889,1,SL4,AA,1,1,1.0000
bennech01,1889,1,BSN,NL,82,42,0.5122
bierblo01,1889,1,PH4,AA,130,80,0.6154
bishobi01,1889,1,CHN,NL,2,0,0.0000
bittmre01,1889,1,KC2,AA,4,2,0.5000
blighne01,1889,1,CL6,AA,28,6,0.2143
boylehe01,1889,1,IN3,NL,46,17,0.3696
boyleja01,1889,1,SL4,AA,99,54,0.5455
brennji01,1889,1,PH4,AA,31,12,0.3871
broutda01,1889,1,BSN,NL,126,105,0.8333
brownpe01,1889,1,LS2,AA,83,39,0.4699
brownto01,1889,1,BSN,NL,90,93,1.0333
brownwi01,1889,1,NY1,NL,40,16,0.4000
buckldi01,1889,1,IN3,NL,68,35,0.5147
buffich01,1889,1,PHI,NL,47,16,0.3404
burdibi01,1889,1,IN3,NL,10,1,0.1000
burnsji01,1889,1,KC2,AA,134,103,0.7687
burnsoy01,1889,1,BR3,AA,131,105,0.8015
burnsto01,1889,1,CHN,NL,136,64,0.4706
bushodo01,1889,1,BR3,AA,25,15,0.6000
cantzba01,1889,1,BL2,AA,20,6,0.3000
carlfr01,1889,1,LS2,AA,25,13,0.5200
carnejo01,1889,1,WS8,NL,69,25,0.3623
carpehi01,1889,1,CN2,AA,123,67,0.5447
carrofr01,1889,1,PIT,NL,91,80,0.8791
carutbo01,1889,1,BR3,AA,59,45,0.7627
caseyda01,1889,1,PHI,NL,20,5,0.2500
chambel01,1889,1,SL4,AA,53,18,0.3396
clarkbo01,1889,1,BR3,AA,53,32,0.6038
clarkha01,1889,1,WS8,NL,1,0,0.0000
clarkjo01,1889,1,BSN,NL,73,36,0.4932
clarksp01,1889,1,WS8,NL,38,19,0.5000
clemeja01,1889,1,PHI,NL,78,51,0.6538
colemjo01,1889,1,PH4,AA,6,1,0.1667
collibi01,1889,1,PH4,AA,1,0,0.0000
collihu01,1889,1,BR3,AA,138,139,1.0072
comisch01,1889,1,SL4,AA,137,105,0.7664
connoro01,1889,1,NY1,NL,131,117,0.8931
conovte01,1889,1,CN2,AA,1,0,0.0000
conwaji01,1889,1,KC2,AA,41,14,0.3415
conwape01,1889,1,PIT,NL,3,2,0.6667
cookpa01,1889,1,LS2,AA,81,34,0.4198
corkhpo01,1889,1,BR3,AA,138,91,0.6594
craneed01,1889,1,NY1,NL,29,16,0.5517
crookja01,1889,1,CL6,AA,12,13,1.0833
crossla01,1889,1,PH4,AA,55,22,0.4000
cunnibe01,1889,1,BL2,AA,41,10,0.2439
dailyco01,1889,1,IN3,NL,62,35,0.5645
dailyed01,1889,1,CL6,AA,136,105,0.7721
daleybi01,1889,1,BSN,NL,9,2,0.2222
dalyto01,1889,1,WS8,NL,71,39,0.5493
darlide01,1889,1,CHN,NL,36,14,0.3889
davisju01,1889,1,KC2,AA,62,40,0.6452
davisju01,1889,2,SL4,AA,2,1,0.5000
daybi01,1889,1,PHI,NL,4,0,0.0000
deckeha01,1889,1,PHI,NL,11,4,0.3636
delahed01,1889,1,PHI,NL,56,37,0.6607
dennyje01,1889,1,IN3,NL,133,96,0.7218
devliji02,1889,1,SL4,AA,9,4,0.4444
donahji01,1889,1,KC2,AA,67,30,0.4478
donneji01,1889,1,WS8,NL,4,3,0.7500
dowiejo01,1889,1,BL2,AA,20,12,0.6000
doyleja01,1889,1,CL6,AA,11,6,0.5455
