playerID,birthCountry,bats
aardsda01,USA,R
aaronha01,USA,R
aaronto01,USA,R
aasedo01,USA,R
abadan01,USA,L
abadfe01,D.R.,L
abadijo01,USA,R
abbated01,USA,R
abbeybe01,USA,R
abbeych01,USA,L
abbotda01,USA,R
abbotfr01,USA,R
abbotgl01,USA,R
abbotje01,USA,R
abbotji01,USA,L
abbotku01,USA,R
abbotky01,USA,L
abbotod01,USA,R
abbotpa01,USA,R
aberal01,USA,L
abercre01,USA,R
abernbi01,USA,R
abernbr01,USA,R
abernte01,USA,R
abernte02,USA,R
abernwo01,USA,L
aberscl01,USA,R
ablesha01,USA,R
abnersh01,USA,R
abramca01,USA,L
abramge01,USA,R
abregjo01,USA,R
abreubo01,Venezuela,L
abreujo01,USA,R
abreuto01,D.R.,B
abreuwi01,D.R.,R
abstebi01,USA,R
accarje01,USA,R
aceveal01,Mexico,R
acevejo01,D.R.,R
aceveju01,Mexico,R
ackerji01,USA,R
ackerto01,USA,R
acklefr01,USA,L
acostcy01,Mexico,R
acosted01,Panama,B
acostjo01,Cuba,R
acostma01,Panama,R
acostme01,Cuba,L
acrema01,USA,R
adairje01,USA,R
adairji01,USA,R
adamsac01,USA,R
adamsba01,USA,L
adamsbe01,USA,B
adamsbo01,USA,R
adamsbo02,USA,R
adamsbo03,USA,R
adamsbo04,USA,R
adamsbu01,USA,R
adamsda01,USA,R
adamsdi01,USA,R
adamsdo01,USA,L
adamsgl01,USA,L
adamshe01,USA,L
adamsjo01,USA,R
adamsjo02,USA,L
adamska01,USA,R
adamsmi01,USA,R
adamsmi02,USA,R
adamsmi03,USA,R
adamsre01,USA,R
adamsri01,USA,L
adamsri02,USA,R
adamsru01,USA,L
adamssp01,USA,R
adamssp02,USA,L
adamste01,USA,R
adamswi01,USA,R
adamswi02,USA,R
adcocjo01,USA,R
addisbo01,USA,L
adducji01,USA,L
addybo01,USA,L
adenhni01,USA,R
aderhmo01,USA,L
adkinde01,USA,R
adkindi01,USA,R
adkindo01,USA,R
adkingr01,USA,R
adkinjo01,USA,L
adkinst01,USA,R
adlesda01,USA,R
afenitr01,USA,R
affelje01,USA,L
agbaybe01,USA,R
ageeto01,USA,R
agganha01,USA,L
aglerjo01,USA,L
agnewsa01,USA,R
agostju01,P.R.,L
aguaylu01,P.R.,R
aguilch01,USA,R
aguilri01,USA,R
aguirha01,USA,R
ahearpa01,USA,R
aikenwi01,USA,L
aingeda01,USA,R
ainsmed01,Russia,R
ainswku01,USA,R
aitchra01,USA,R
aitonge01,USA,B
akejo01,USA,R
akerfda01,USA,R
akerja01,USA,R
akersbi01,USA,R
akersje01,USA,R
albagi01,D.R.,L
albaljo01,P.R.,R
albanjo01,USA,R
alberbu01,USA,R
albercy01,USA,R
albergu01,USA,R
alberjo01,P.R.,R
alberma01,USA,L
albosed01,USA,R
albreed01,USA,R
albrija01,USA,R
alburvi01,USA,L
alcalsa01,D.R.,R
alcanis01,D.R.,R
alcarlu01,P.R.,R
alcocsc01,USA,R
alderda01,USA,R
aldremi01,USA,L
aldresc01,USA,L
aldrico01,USA,L
aldrija01,USA,R
aldrivi01,USA,R
alenoch01,USA,R
alexabo01,CAN,R
alexada01,USA,R
alexado01,USA,R
alexaga01,USA,R
alexage01,USA,R
alexahu01,USA,R
alexama01,USA,B
alexama02,D.R.,R
alexani01,USA,R
alexape01,USA,R
alexawa01,USA,R
alfarja01,USA,R
alfonan01,D.R.,R
alfoned01,Venezuela,R
alfonel01,Venezuela,R
alicelu01,P.R.,B
allanan01,USA,R
allarbr01,USA,R
allenbe01,USA,L
allenbo01,USA,R
allenbo02,USA,R
allenbo03,USA,R
allenbo04,USA,L
allenbr01,USA,L
allench01,USA,R
allendi01,USA,R
allendu01,USA,R
allenet01,USA,R
allenfr01,USA,R
allenga01,USA,R
allenha02,USA,R
allenho01,USA,L
allenja01,USA,R
allenja02,USA,R
allenje01,USA,R
allenjo01,USA,R
allenjo02,USA,R
allenki01,USA,R
allenll01,USA,R
allenlu01,USA,L
allenmy01,USA,R
allenne01,USA,R
allenni01,USA,R
allenpe01,USA,R
allenro01,USA,B
allenro02,USA,R
allensl01,USA,R
alleyge01,USA,R
alliebo01,USA,R
alliega01,USA,R
allisbo01,USA,R
allisda01,USA,R
allisdo01,USA,R
allisma01,USA,R
allismi01,USA,L
allrebe01,USA,L
almadme01,Mexico,L
almanar01,USA,L
almanca01,D.R.,R
almeira01,Cuba,R
almonbi01,USA,R
almoned01,D.R.,R
almoner01,D.R.,R
almonhe01,D.R.,R
alomalu01,Cuba,R
alomaro01,P.R.,B
alomasa01,P.R.,B
alomasa02,P.R.,R
alonsyo01,Cuba,L
aloufe01,D.R.,R
alouje01,D.R.,R
alouma01,D.R.,L
aloumo01,USA,R
alperwh01,USA,R
alstode01,USA,L
alstoga01,USA,R
alstoto01,USA,L
alstowa01,USA,R
altampo01,Nicaragua,R
altener01,USA,R
altenje01,USA,L
altizda01,USA,L
altmage01,USA,L
altobjo01,USA,L
altroni01,USA,B
alusige01,USA,R
alvarab01,USA,L
alvarcl01,Venezuela,R
alvarga01,Mexico,R
alvarjo01,USA,R
alvarju01,USA,L
alvarlu01,P.R.,R
alvaror01,P.R.,R
alvaros01,Cuba,R
alvarpe01,D.R.,L
alvarro01,Cuba,R
alvarta01,Mexico,R
alvarto01,Venezuela,R
alvarvi01,Mexico,L
alvarwi01,Venezuela,L
alvisma01,USA,R
alyeabr01,USA,R
amalfjo01,USA,R
amarari01,USA,R
amaroru01,Mexico,R
amaroru02,USA,B
amblewa01,USA,R
ambrech01,USA,R
ambrihe01,USA,L
amelued01,USA,L
amesre01,USA,B
amezaal01,Mexico,B
amoledo01,USA,R
amorosa01,Cuba,L
amorvi01,Cuba,R
anckewa01,USA,R
anderal01,USA,R
anderal02,USA,L
anderan01,USA,R
anderbi01,USA,R
anderbo01,USA,R
anderbr01,USA,L
anderbr02,USA,B
anderbr03,USA,R
anderbr04,USA,L
anderbr05,USA,L
anderbu01,USA,R
andercr01,USA,R
anderda02,USA,R
anderdr01,USA,L
anderdw01,USA,R
anderfe01,USA,R
anderfr01,USA,R
anderga01,USA,L
anderge01,USA,L
andergo01,USA,L
anderha01,USA,R
anderha02,USA,L
anderja01,USA,L
anderji01,USA,R
anderji02,USA,L
anderjo01,Norway,B
anderjo02,USA,R
anderjo03,USA,L
anderke01,USA,R
anderla01,USA,R
anderla02,USA,R
anderla03,USA,L
anderma01,USA,R
anderma02,USA,L
andermi01,USA,R
andermi02,USA,R
anderre01,USA,R
anderri01,USA,R
anderri02,USA,R
andersc01,USA,R
andersp01,USA,R
