playerID,yearID,stint,teamID,lgID,ERA,WHIP
anderda01,1889,1,PHI,NL,7.43,1.9130
anderva01,1889,1,IN3,NL,4.5,1.8333
bakelje01,1889,1,CL4,NL,2.96,1.3209
baldwma01,1889,1,CL6,AA,3.61,1.4250
batesjo01,1889,1,KC2,AA,13.5,2.5000
bausege01,1889,1,PH4,AA,3.9,1.7530
beamal01,1889,1,PIT,NL,6.5,1.4444
beatied01,1889,1,CL4,NL,3.57,1.4386
bellch01,1889,1,KC2,AA,1.0,0.7778
bishobi01,1889,1,CHN,NL,18.0,4.0000
boylehe01,1889,1,IN3,NL,3.92,1.3653
buffich01,1889,1,PHI,NL,3.24,1.3447
burdibi01,1889,1,IN3,NL,4.53,1.5547
carutbo01,1889,1,BR3,AA,3.13,1.2315
caseyda01,1889,1,PHI,NL,3.77,1.5852
chambel01,1889,1,SL4,AA,2.97,1.2830
clarkjo01,1889,1,BSN,NL,2.73,1.2774
colemjo01,1889,1,PH4,AA,2.91,1.5294
comisch01,1889,1,SL4,AA,0.0,0.0000
conovte01,1889,1,CN2,AA,13.5,3.0000
conwaji01,1889,1,KC2,AA,3.25,1.2657
conwape01,1889,1,PIT,NL,4.91,1.9091
craneed01,1889,1,NY1,NL,3.68,1.5522
cunnibe01,1889,1,BL2,AA,4.87,1.6002
dailyed01,1889,1,CL6,AA,21.6,3.0000
daleybi01,1889,1,BSN,NL,4.31,1.6042
daybi01,1889,1,PHI,NL,5.21,2.0526
devliji02,1889,1,SL4,AA,2.4,1.3333
dunnian01,1889,1,PIT,NL,7.0,2.0000
duryeje01,1889,1,CN2,AA,2.56,1.2444
dwyerfr01,1889,1,CHN,NL,3.59,1.3732
eastoja01,1889,1,CL6,AA,3.5,1.8889
ehretre01,1889,1,LS2,AA,4.8,1.5275
ewingbu01,1889,1,NY1,NL,4.05,1.5500
ewingjo01,1889,1,LS2,AA,4.87,1.6737
fannija01,1889,1,IN3,NL,18.0,5.0000
feeja01,1889,1,IN3,NL,4.28,1.7500
fersoal01,1889,1,WS8,NL,3.9,1.4705
fogarji01,1889,1,PHI,NL,9.0,1.5000
foremfr01,1889,1,BL2,AA,3.52,1.2101
foutzda01,1889,1,BR3,AA,4.37,1.4916
galvipu01,1889,1,PIT,NL,4.17,1.3783
garfibi01,1889,1,PIT,NL,7.76,2.1379
gastrha01,1889,1,CL6,AA,4.57,1.6123
georgbi01,1889,2,CL6,AA,7.88,1.7500
getzich01,1889,1,IN3,NL,4.54,1.4183
glassja01,1889,1,IN3,NL,0.0,9.0000
gleaski01,1889,1,PHI,NL,5.58,1.6537
goetzge01,1889,1,BL2,AA,4.0,1.3333
grubehe01,1889,1,CL4,NL,3.64,1.4244
gumbead01,1889,1,CHN,NL,3.62,1.3559
haddoge01,1889,1,WS8,NL,4.2,1.5271
hatfigi01,1889,1,NY1,NL,3.98,1.5000
healyjo01,1889,1,WS8,NL,6.24,1.7525
healyjo01,1889,2,CHN,NL,4.5,1.4348
heckegu01,1889,1,LS2,AA,5.59,1.7313
hudsona01,1889,1,SL4,AA,4.2,1.4333
hughemi01,1889,1,BR3,AA,4.35,1.6863
