yearID,lgID,SUM(G),SUM(R),SUM(R)/SUM(G)
1871,NA,254,2659,10.4685
1872,NA,366,3390,9.2623
1873,NA,398,3580,8.9950
1874,NA,464,3469,7.4763
1875,NA,690,4234,6.1362
1876,NL,520,3066,5.8962
1877,NL,360,2040,5.6667
1878,NL,368,1904,5.1739
1879,NL,642,3409,5.3100
1880,NL,680,3191,4.6926
1881,NL,672,3426,5.0982
1882,AA,468,2438,5.2094
1882,NL,676,3657,5.4098
1883,AA,780,4465,5.7244
1883,NL,790,4565,5.7785
1884,AA,1318,6889,5.2269
1884,NL,914,5028,5.5011
1884,UA,856,4825,5.6367
1885,AA,890,4885,5.4888
1885,NL,890,4407,4.9517
1886,AA,1114,6327,5.6795
1886,NL,990,5185,5.2374
1887,AA,1100,7234,6.5764
1887,NL,1016,6180,6.0827
1888,AA,1096,5691,5.1925
1888,NL,1088,4937,4.5377
1889,AA,1118,6783,6.0671
1889,NL,1062,6203,5.8409
1890,AA,1080,6042,5.5944
1890,NL,1078,6010,5.5751
1890,PL,1058,7278,6.8790
1891,AA,1118,6553,5.8614
1891,NL,1104,6114,5.5380
1892,NL,1842,9388,5.0966
1893,NL,1570,10315,6.5701
1894,NL,1586,11678,7.3632
1895,NL,1592,10482,6.5842
1896,NL,1584,9555,6.0322
1897,NL,1618,9520,5.8838
1898,NL,1842,9129,4.9560
1899,NL,1842,9647,5.2372
1900,NL,1138,5932,5.2127
1901,AL,1098,5874,5.3497
1901,NL,1122,5194,4.6292
1902,AL,1106,5407,4.8888
1902,NL,1124,4476,3.9822
1903,AL,1108,4543,4.1002
1903,NL,1120,5349,4.7759
1904,AL,1252,4433,3.5407
1904,NL,1246,4874,3.9117
1905,AL,1234,4549,3.6864
1905,NL,1240,5091,4.1056
1906,AL,1226,4495,3.6664
1906,NL,1230,4388,3.5675
1907,AL,1234,4511,3.6556
1907,NL,1232,4187,3.3985
1908,AL,1244,4284,3.4437
1908,NL,1244,4139,3.3272
1909,AL,1240,4264,3.4387
1909,NL,1242,4541,3.6562
1910,AL,1256,4573,3.6409
1910,NL,1242,5007,4.0314
1911,AL,1228,5658,4.6075
1911,NL,1246,5506,4.4189
1912,AL,1238,5495,4.4386
1912,NL,1226,5659,4.6158
1913,AL,1228,4823,3.9275
1913,NL,1240,5141,4.1460
1914,AL,1262,4610,3.6529
1914,FL,1248,5124,4.1058
1914,NL,1250,4798,3.8384
1915,AL,1242,4922,3.9630
1915,FL,1238,4769,3.8522
